TIME:       63 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       63 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       64 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       64 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       64 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       65 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       65 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       65 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       66 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       66 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       66 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (3, 6)
TIME:       67 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       67 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       67 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (4, 6)
TIME:       68 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (1, 7)
TIME:       68 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (4, 7)
TIME:       68 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       69 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (5, 7)
TIME:       69 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (1, 6)
TIME:       70 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       70 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       70 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       71 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       71 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       71 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       72 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       72 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       72 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       73 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       73 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       73 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       74 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       74 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       74 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       75 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       75 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       75 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       76 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:       76 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       76 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       77 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (3, 6)
TIME:       77 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       77 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       78 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (1, 7)
TIME:       78 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       78 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (4, 6)
TIME:       79 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (4, 7)
TIME:       79 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:       79 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (1, 6)
TIME:       80 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (5, 7)
TIME:       80 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       80 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       81 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       81 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       81 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       82 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (7, 7)
